35028605 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 115 | 16 | Disease | disease | hypersensitivity
38559795 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1067 | 19 | Disease | disease | autoimmune diseases
38567708 | @CHEMICAL_icaritin | icaritin | 58 | 8 | Chemical | chemical | icaritin
38567708 | @CHEMICAL_icaritin | icaritin | 98 | 8 | Chemical | chemical | Icaritin
38567708 | @CHEMICAL_Flavonoids | Flavonoids | 131 | 9 | Chemical | chemical | flavonoid
38567708 | @DISEASE_Neoplasms | Neoplasms | 234 | 7 | Disease | disease | cancers
38567708 | @DISEASE_Carcinoma_Hepatocellular | Carcinoma Hepatocellular | 254 | 24 | Disease | disease | hepatocellular carcinoma
38567708 | @DISEASE_Carcinoma_Hepatocellular | Carcinoma Hepatocellular | 280 | 3 | Disease | disease | HCC
38567708 | @CHEMICAL_icaritin | icaritin | 286 | 8 | Chemical | chemical | Icaritin
38567708 | @GENE_IL6 | IL6 | 377 | 4 | Gene | gene | IL-6
38567708 | @GENE_STAT3 | STAT3 | 386 | 5 | Gene | gene | STAT3
38567708 | @GENE_NFKB1 | NFKB1 | 409 | 9 | Gene | gene | NF-kappaB
38567708 | @DISEASE_Neoplasms | Neoplasms | 434 | 5 | Disease | disease | tumor
38567708 | @CHEMICAL_icaritin | icaritin | 542 | 8 | Chemical | chemical | icaritin
38567708 | @DISEASE_Carcinoma_Hepatocellular | Carcinoma Hepatocellular | 563 | 3 | Disease | disease | HCC
38567708 | @CHEMICAL_icaritin | icaritin | 679 | 8 | Chemical | chemical | icaritin
38567708 | @CHEMICAL_icaritin | icaritin | 848 | 8 | Chemical | chemical | icaritin
38567708 | @CHEMICAL_icaritin | icaritin | 1052 | 8 | Chemical | chemical | icaritin
38567708 | @DISEASE_Carcinoma_Hepatocellular | Carcinoma Hepatocellular | 1107 | 3 | Disease | disease | HCC
38567708 | @DISEASE_Neoplasms | Neoplasms | 1121 | 7 | Disease | disease | cancers
38567708 | @CHEMICAL_icaritin | icaritin | 1235 | 8 | Chemical | chemical | icaritin
38567708 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1503 | 8 | Disease | disease | toxicity
38567708 | @DISEASE_Neoplasms | Neoplasms | 1621 | 6 | Disease | disease | cancer
38567708 | @CHEMICAL_icaritin | icaritin | 1707 | 8 | Chemical | chemical | icaritin
38615319 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 35 | 17 | Disease | disease | colorectal cancer
38615319 | @DISEASE_Neoplasms | Neoplasms | 101 | 5 | Disease | disease | tumor
38615319 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 156 | 17 | Disease | disease | colorectal cancer
38615319 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 175 | 3 | Disease | disease | CRC
38615319 | @DISEASE_Neoplasms | Neoplasms | 241 | 5 | Disease | disease | tumor
38615319 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 348 | 3 | Disease | disease | CRC
38615319 | @GENE_IGF2BP3 | IGF2BP3 | 449 | 7 | Gene | gene | IGF2BP3
38615319 | @GENE_IGF2BP3 | IGF2BP3 | 508 | 7 | Gene | gene | IGF2BP3
38615319 | @GENE_MYC | MYC | 583 | 5 | Gene | gene | c-Myc
38615319 | @GENE_MYC | MYC | 642 | 5 | Gene | gene | c-Myc
38615319 | @DISEASE_Neoplasms | Neoplasms | 671 | 5 | Disease | disease | tumor
38615319 | @GENE_CXCL10 | CXCL10 | 753 | 6 | Gene | gene | CXCL10
38615319 | @GENE_IL9 | IL9 | 764 | 13 | Gene | gene | interleukin-9
38615319 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 781 | 3 | Disease | disease | CRC
38615319 | @GENE_STAT1 | STAT1 | 815 | 5 | Gene | gene | STAT1
38615319 | @GENE_CD8A | CD8A | 894 | 3 | Gene | gene | CD8
38615319 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 971 | 3 | Disease | disease | CRC
38615319 | @GENE_CD8A | CD8A | 1002 | 3 | Gene | gene | CD8
38615319 | @DISEASE_Neoplasms | Neoplasms | 1119 | 5 | Disease | disease | tumor
38615319 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1215 | 3 | Disease | disease | CRC
14739298 | @GENE_MAGEA4 | MAGEA4 | 18 | 7 | Gene | gene | MAGE-A4
14739298 | @GENE_PSMD10 | PSMD10 | 79 | 8 | Gene | gene | Gankyrin
14739298 | @DISEASE_Carcinoma_Hepatocellular | Carcinoma Hepatocellular | 199 | 25 | Disease | disease | hepatocellular carcinomas
14739298 | @GENE_PSMD10 | PSMD10 | 232 | 8 | Gene | gene | gankyrin
14739298 | @GENE_MAGEA4 | MAGEA4 | 256 | 7 | Gene | gene | MAGE-A4
14739298 | @GENE_MAGEA4 | MAGEA4 | 281 | 7 | Gene | gene | MAGE-A4
14739298 | @GENE_MAGEA4 | MAGEA4 | 388 | 7 | Gene | gene | MAGE-A4
14739298 | @GENE_MAGEA4 | MAGEA4 | 397 | 14 | Gene | gene | MAGE-A4DeltaN1
14739298 | @GENE_TP53 | TP53 | 421 | 3 | Gene | gene | p53
14739298 | @GENE_TP53 | TP53 | 439 | 3 | Gene | gene | p53
14739298 | @GENE_MAGEA4 | MAGEA4 | 466 | 14 | Gene | gene | MAGE-A4DeltaN1
14739298 | @GENE_TP53 | TP53 | 495 | 3 | Gene | gene | p53
14739298 | @GENE_CDKN1A | CDKN1A | 532 | 3 | Gene | gene | p21
14739298 | @GENE_CDKN1A | CDKN1A | 536 | 4 | Gene | gene | Cip1
14739298 | @GENE_BCL2L1 | BCL2L1 | 590 | 6 | Gene | gene | Bcl-xL
14739298 | @GENE_MAGEA4 | MAGEA4 | 707 | 14 | Gene | gene | MAGE-A4DeltaN1
14739298 | @GENE_MAGEA4 | MAGEA4 | 739 | 14 | Gene | gene | MAGE-A4DeltaN1
14739298 | @GENE_CDKN1A | CDKN1A | 806 | 3 | Gene | gene | p21
14739298 | @GENE_CDKN1A | CDKN1A | 810 | 4 | Gene | gene | Cip1
14739298 | @GENE_CDKN1A | CDKN1A | 861 | 3 | Gene | gene | p21
14739298 | @GENE_CDKN1A | CDKN1A | 865 | 4 | Gene | gene | Cip1
14739298 | @GENE_MAGEA4 | MAGEA4 | 916 | 7 | Gene | gene | MAGE-A4
14739298 | @GENE_MAGEA4 | MAGEA4 | 1018 | 14 | Gene | gene | MAGE-A4DeltaN1
14739298 | @CHEMICAL_benzyloxycarbonylvalyl_alanyl_aspartyl_fluoromethyl_ketone | benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone | 1096 | 9 | Chemical | chemical | Z-VAD-FMK
14739298 | @CHEMICAL_Aspartic_Acid | Aspartic Acid | 1147 | 14 | Chemical | chemical | aspartic acids
14739298 | @GENE_MAGEA4 | MAGEA4 | 1165 | 7 | Gene | gene | MAGE-A4
14739298 | @CHEMICAL_Doxorubicin | Doxorubicin | 1313 | 10 | Chemical | chemical | adriamycin
14739298 | @GENE_TAT | TAT | 1349 | 3 | Gene | gene | Tat
14739298 | @GENE_MAGEA4 | MAGEA4 | 1353 | 14 | Gene | gene | MAGE-A4DeltaN1
14739298 | @GENE_PSMD10 | PSMD10 | 1426 | 8 | Gene | gene | gankyrin
14739298 | @GENE_MAGEA4 | MAGEA4 | 1536 | 7 | Gene | gene | MAGE-A4
14739298 | @GENE_MAGEA4 | MAGEA4 | 1772 | 7 | Gene | gene | MAGE-A4
14739298 | @GENE_MAGEA4 | MAGEA4 | 1848 | 7 | Gene | gene | MAGE-A4
17027325 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 14 | 12 | Disease | disease | carcinogenic
17027325 | @CHEMICAL_Azo_Compounds | Azo Compounds | 50 | 7 | Chemical | chemical | azo dye
17027325 | @CHEMICAL_Drinking_Water | Drinking Water | 99 | 14 | Chemical | chemical | drinking water
17027325 | @CHEMICAL_Azo_Compounds | Azo Compounds | 141 | 7 | Chemical | chemical | azo dye
17027325 | @CHEMICAL_Drinking_Water | Drinking Water | 268 | 14 | Chemical | chemical | drinking water
17027325 | @CHEMICAL_Water | Water | 480 | 5 | Chemical | chemical | water
17027325 | @CHEMICAL_Azo_Compounds | Azo Compounds | 850 | 8 | Chemical | chemical | azo dyes
17027325 | @CHEMICAL_benzidine | benzidine | 948 | 9 | Chemical | chemical | benzidine
17027325 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 967 | 12 | Disease | disease | carcinogenic
17027325 | @CHEMICAL_Drinking_Water | Drinking Water | 1307 | 14 | Chemical | chemical | drinking water
17027325 | @CHEMICAL_Water | Water | 1365 | 5 | Chemical | chemical | water
17027325 | @CHEMICAL_Water | Water | 1463 | 5 | Chemical | chemical | water
17027325 | @CHEMICAL_Water | Water | 1518 | 5 | Chemical | chemical | water
17027325 | @CHEMICAL_Water | Water | 1893 | 5 | Chemical | chemical | water
17027325 | @CHEMICAL_Azo_Compounds | Azo Compounds | 2070 | 8 | Chemical | chemical | azo dyes
17027325 | @CHEMICAL_Water | Water | 2271 | 5 | Chemical | chemical | water
17027325 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 2358 | 15 | Disease | disease | carcinogenicity
17027325 | @CHEMICAL_Drinking_Water | Drinking Water | 2493 | 14 | Chemical | chemical | drinking water
17027325 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 2694 | 21 | Disease | disease | preneoplastic lesions
17027325 | @DISEASE_Cayler_cardiofacial_syndrome | Cayler cardiofacial syndrome | 2999 | 3 | Disease | disease | ACF
17027325 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 3057 | 12 | Disease | disease | carcinogenic
17175442 | @CHEMICAL_Glucosides | Glucosides | 15 | 9 | Chemical | chemical | glucoside
17175442 | @CHEMICAL_Glucosides | Glucosides | 181 | 9 | Chemical | chemical | glucoside
17175442 | @CHEMICAL_linamarin | linamarin | 252 | 9 | Chemical | chemical | linamarin
17175442 | @CHEMICAL_lotaustralin | lotaustralin | 266 | 12 | Chemical | chemical | lotaustralin
17175442 | @CHEMICAL_linamarin | linamarin | 567 | 9 | Chemical | chemical | linamarin
17175442 | @CHEMICAL_lotaustralin | lotaustralin | 581 | 12 | Chemical | chemical | lotaustralin
19127546 | @CHEMICAL_Leflunomide | Leflunomide | 246 | 11 | Chemical | chemical | leflunomide
19127546 | @CHEMICAL_Leflunomide | Leflunomide | 259 | 3 | Chemical | chemical | LEF
19127546 | @CHEMICAL_Acetaminophen | Acetaminophen | 268 | 13 | Chemical | chemical | acetaminophen
19127546 | @CHEMICAL_Acetaminophen | Acetaminophen | 283 | 4 | Chemical | chemical | APAP
19127546 | @CHEMICAL_N_acetyl_4_benzoquinoneimine | N-acetyl-4-benzoquinoneimine | 956 | 5 | Chemical | chemical | NAPQI
19127546 | @CHEMICAL_Glutathione | Glutathione | 962 | 3 | Chemical | chemical | GSH
19127546 | @CHEMICAL_Acetaminophen | Acetaminophen | 1025 | 4 | Chemical | chemical | APAP
19954531 | @CHEMICAL_Hydrogen_Cyanide | Hydrogen Cyanide | 687 | 16 | Chemical | chemical | hydrogen cyanide
19954531 | @GENE_CYP315A1 | Cyp315a1 | 1718 | 15 | Gene | gene | cytochrome P450
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 78 | 18 | Disease | disease | multiple sclerosis
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 205 | 18 | Disease | disease | multiple sclerosis
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 225 | 2 | Disease | disease | MS
30824557 | @DISEASE_White_Coat_Hypertension | White Coat Hypertension | 335 | 28 | Disease | disease | clinically isolated syndrome
30824557 | @DISEASE_White_Coat_Hypertension | White Coat Hypertension | 365 | 3 | Disease | disease | CIS
30824557 | @DISEASE_White_Coat_Hypertension | White Coat Hypertension | 465 | 3 | Disease | disease | CIS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 576 | 2 | Disease | disease | MS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 580 | 4 | Disease | disease | CDMS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 601 | 2 | Disease | disease | MS
30824557 | @DISEASE_White_Coat_Hypertension | White Coat Hypertension | 704 | 3 | Disease | disease | CIS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 742 | 4 | Disease | disease | CDMS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 762 | 2 | Disease | disease | MS
30824557 | @DISEASE_White_Coat_Hypertension | White Coat Hypertension | 1042 | 3 | Disease | disease | CIS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 1086 | 4 | Disease | disease | CDMS
30824557 | @DISEASE_White_Coat_Hypertension | White Coat Hypertension | 1128 | 3 | Disease | disease | CIS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 1151 | 4 | Disease | disease | CDMS
30824557 | @DISEASE_White_Coat_Hypertension | White Coat Hypertension | 1291 | 3 | Disease | disease | CIS
30824557 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 1682 | 4 | Disease | disease | CDMS
35566068 | @CHEMICAL_Silver | Silver | 79 | 6 | Chemical | chemical | Silver
35566068 | @CHEMICAL_Flavonoids | Flavonoids | 849 | 10 | Chemical | chemical | Flavonoids
35566068 | @CHEMICAL_Phenols | Phenols | 864 | 7 | Chemical | chemical | phenols
35566068 | @CHEMICAL_Silver | Silver | 1229 | 6 | Chemical | chemical | silver
35566068 | @DISEASE_Hyperlipidemias | Hyperlipidemias | 1483 | 14 | Disease | disease | hyperlipidemia
35566068 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 1499 | 8 | Disease | disease | diabetes
35566068 | @DISEASE_Neoplasms | Neoplasms | 1509 | 6 | Disease | disease | cancer
35566068 | @DISEASE_Ulcer | Ulcer | 1521 | 23 | Disease | disease | gastrointestinal ulcers
36141194 | @DISEASE_Depressive_Disorder | Depressive Disorder | 134 | 19 | Disease | disease | Depressive Symptoms
36141194 | @DISEASE_Psychophysiologic_Disorders | Psychophysiologic Disorders | 396 | 22 | Disease | disease | psychosomatic symptoms
36141194 | @DISEASE_Depressive_Disorder | Depressive Disorder | 719 | 19 | Disease | disease | Depressive symptoms
36141194 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1143 | 19 | Disease | disease | Depressive symptoms
36141194 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1464 | 19 | Disease | disease | depressive symptoms
36269668 | @DISEASE_Sepsis | Sepsis | 85 | 22 | Disease | disease | Bloodstream Infections
36269668 | @DISEASE_Sepsis | Sepsis | 272 | 33 | Disease | disease | -associated bloodstream infection
36269668 | @DISEASE_Sepsis | Sepsis | 307 | 6 | Disease | disease | CLABSI
36269668 | @DISEASE_Sepsis | Sepsis | 563 | 6 | Disease | disease | CLABSI
36269668 | @DISEASE_Sepsis | Sepsis | 754 | 21 | Disease | disease | bloodstream infection
36269668 | @DISEASE_Sepsis | Sepsis | 777 | 3 | Disease | disease | BSI
36269668 | @DISEASE_Sepsis | Sepsis | 1249 | 3 | Disease | disease | BSI
36269668 | @DISEASE_Sepsis | Sepsis | 1377 | 3 | Disease | disease | BSI
36823318 | @DISEASE_Brain_Diseases | Brain Diseases | 114 | 22 | Disease | disease | brain-related diseases
36823318 | @GENE_CYP24A1 | CYP24A1 | 897 | 7 | Gene | gene | CYP24A1
36823318 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 910 | 18 | Disease | disease | multiple sclerosis
36823318 | @DISEASE_Central_Nervous_System_Diseases | Central Nervous System Diseases | 1122 | 31 | Disease | disease | central nervous system diseases
36823318 | @DISEASE_Central_Nervous_System_Diseases | Central Nervous System Diseases | 1223 | 31 | Disease | disease | central nervous system diseases
37893073 | @GENE_NOS2 | NOS2 | 17 | 4 | Gene | gene | iNOS
37893073 | @DISEASE_COVID_19 | COVID-19 | 77 | 8 | Disease | disease | COVID-19
37893073 | @DISEASE_COVID_19 | COVID-19 | 117 | 8 | Disease | disease | COVID-19
37893073 | @DISEASE_Inflammation | Inflammation | 143 | 12 | Disease | disease | inflammatory
37893073 | @DISEASE_Lung_Diseases | Lung Diseases | 178 | 11 | Disease | disease | lung damage
37893073 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 202 | 35 | Disease | disease | acute respiratory distress syndrome
37893073 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 239 | 4 | Disease | disease | ARDS
37893073 | @GENE_NOS2 | NOS2 | 322 | 4 | Gene | gene | NOS2
37893073 | @GENE_NOS2 | NOS2 | 327 | 4 | Gene | gene | iNOS
37893073 | @DISEASE_Inflammation | Inflammation | 351 | 12 | Disease | disease | inflammatory
37893073 | @GENE_NOS2 | NOS2 | 379 | 4 | Gene | gene | NOS2
37893073 | @DISEASE_COVID_19 | COVID-19 | 411 | 8 | Disease | disease | COVID-19
37893073 | @GENE_NOS2 | NOS2 | 491 | 4 | Gene | gene | iNOS
37893073 | @GENE_IRF1 | IRF1 | 553 | 4 | Gene | gene | IRF1
37893073 | @GENE_IFNG | IFNG | 681 | 8 | Gene | gene | IFNgamma
37893073 | @GENE_IL1B | IL1B | 691 | 8 | Gene | gene | IL-1beta
37893073 | @GENE_IL6 | IL6 | 701 | 4 | Gene | gene | IL-6
37893073 | @GENE_TNF | TNF | 711 | 8 | Gene | gene | TNFalpha
37893073 | @GENE_NOS2 | NOS2 | 762 | 4 | Gene | gene | iNOS
37893073 | @CHEMICAL_baricitinib | baricitinib | 836 | 11 | Chemical | chemical | baricitinib
37893073 | @GENE_SMC2 | SMC2 | 852 | 4 | Gene | gene | CAPE
37893073 | @GENE_NOS2 | NOS2 | 1003 | 4 | Gene | gene | iNOS
37893073 | @GENE_IRF1 | IRF1 | 1045 | 4 | Gene | gene | IRF1
37893073 | @GENE_IFNG | IFNG | 1054 | 8 | Gene | gene | IFNgamma
37893073 | @GENE_NOS2 | NOS2 | 1071 | 4 | Gene | gene | NOS2
37893073 | @GENE_IL1B | IL1B | 1112 | 8 | Gene | gene | IL-1beta
37893073 | @GENE_TNF | TNF | 1125 | 8 | Gene | gene | TNFalpha
37893073 | @GENE_SMC2 | SMC2 | 1176 | 4 | Gene | gene | CAPE
37893073 | @GENE_IRF1 | IRF1 | 1220 | 4 | Gene | gene | IRF1
37893073 | @GENE_NFKB1 | NFKB1 | 1229 | 9 | Gene | gene | NF-kappaB
37893073 | @GENE_STAT1 | STAT1 | 1255 | 5 | Gene | gene | STAT1
37893073 | @GENE_NOS2 | NOS2 | 1346 | 4 | Gene | gene | iNOS
37893073 | @CHEMICAL_baricitinib | baricitinib | 1386 | 11 | Chemical | chemical | baricitinib
37893073 | @DISEASE_COVID_19 | COVID-19 | 1461 | 8 | Disease | disease | COVID-19
37893073 | @GENE_NOS2 | NOS2 | 1531 | 4 | Gene | gene | NOS2
37991399 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1418 | 12 | Disease | disease | colon cancer
38004823 | @DISEASE_Viremia | Viremia | 0 | 28 | Disease | disease | Spring Viremia of Carp Virus
38004823 | @GENE_IL10 | IL10 | 52 | 5 | Gene | gene | IL-10
38004823 | @GENE_IL10 | IL10 | 113 | 5 | Gene | gene | IL-10
38004823 | @DISEASE_Inflammation | Inflammation | 257 | 12 | Disease | disease | inflammatory
38004823 | @GENE_IL10 | IL10 | 329 | 5 | Gene | gene | IL-10
38004823 | @GENE_IL10 | IL10 | 494 | 5 | Gene | gene | IL-10
38004823 | @GENE_IL10 | IL10 | 616 | 5 | Gene | gene | IL-10
38004823 | @DISEASE_Viremia | Viremia | 660 | 22 | Disease | disease | Spring viremia of carp
38004823 | @DISEASE_Viremia | Viremia | 684 | 3 | Disease | disease | SVC
38004823 | @DISEASE_Virus_Diseases | Virus Diseases | 700 | 13 | Disease | disease | viral disease
38004823 | @DISEASE_Viremia | Viremia | 753 | 28 | Disease | disease | spring viremia of carp virus
38004823 | @DISEASE_Viremia | Viremia | 783 | 4 | Disease | disease | SVCV
38004823 | @GENE_IL10 | IL10 | 919 | 5 | Gene | gene | IL-10
38004823 | @DISEASE_Viremia | Viremia | 954 | 4 | Disease | disease | SVCV
38004823 | @DISEASE_Carcinoma | Carcinoma | 962 | 30 | Disease | disease | epithelioma papulosum cyprinid
38004823 | @GENE_IL10 | IL10 | 1155 | 5 | Gene | gene | IL-10
38004823 | @GENE_IL10 | IL10 | 1251 | 5 | Gene | gene | IL-10
38004823 | @DISEASE_Viremia | Viremia | 1260 | 4 | Disease | disease | SVCV
38004823 | @CHEMICAL_tofacitinib | tofacitinib | 1323 | 9 | Chemical | chemical | CP-690550
38004823 | @CHEMICAL_STA_21 | STA-21 | 1352 | 6 | Chemical | chemical | STA-21
38004823 | @GENE_NFKB1 | NFKB1 | 1361 | 9 | Gene | gene | NF-kappaB
38004823 | @CHEMICAL_3_(4_methylphenylsulfonyl)_2_propenenitrile | 3-(4-methylphenylsulfonyl)-2-propenenitrile | 1382 | 10 | Chemical | chemical | BAY11-7082
38004823 | @CHEMICAL_4_(4_fluorophenyl)_2_(4_hydroxyphenyl)_5_(4_pyridyl)imidazole | 4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole | 1453 | 8 | Chemical | chemical | SB202190
38004823 | @CHEMICAL_pyrazolanthrone | pyrazolanthrone | 1487 | 8 | Chemical | chemical | SP600125
38004823 | @GENE_IL10 | IL10 | 1605 | 5 | Gene | gene | IL-10
38004823 | @GENE_IL10 | IL10 | 1707 | 5 | Gene | gene | IL-10
38004823 | @GENE_NFKB1 | NFKB1 | 1766 | 9 | Gene | gene | NF-kappaB
38004823 | @GENE_IL10 | IL10 | 1888 | 5 | Gene | gene | IL-10
38004823 | @GENE_NFKB1 | NFKB1 | 1927 | 9 | Gene | gene | NF-kappaB
38107402 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 38 | 11 | Disease | disease | coronavirus
38107402 | @DISEASE_Infections | Infections | 55 | 9 | Disease | disease | infection
38107402 | @DISEASE_COVID_19 | COVID-19 | 421 | 24 | Disease | disease | coronavirus disease-2019
38107402 | @DISEASE_COVID_19 | COVID-19 | 447 | 8 | Disease | disease | COVID-19
38107402 | @DISEASE_COVID_19 | COVID-19 | 531 | 55 | Disease | disease | severe acute respiratory syndrome-related coronavirus 1
38107402 | @DISEASE_COVID_19 | COVID-19 | 588 | 10 | Disease | disease | SARS-CoV-1
38107402 | @DISEASE_Respiratory_Tract_Infections | Respiratory Tract Infections | 600 | 14 | Disease | disease | lung infection
38107402 | @GENE_CXCL10 | CXCL10 | 911 | 6 | Gene | gene | CXCL10
38107402 | @GENE_BEX2 | BEX2 | 919 | 4 | Gene | gene | BEX2
38107402 | @GENE_ADM | ADM | 929 | 3 | Gene | gene | ADM
38107402 | @GENE_CXCL10 | CXCL10 | 1083 | 6 | Gene | gene | Cxcl10
38107402 | @DISEASE_Infections | Infections | 1174 | 9 | Disease | disease | infection
38107402 | @DISEASE_Infections | Infections | 1222 | 9 | Disease | disease | infection
38107402 | @DISEASE_COVID_19 | COVID-19 | 1313 | 10 | Disease | disease | SARS-CoV-1
38107402 | @GENE_ADM | ADM | 1561 | 14 | Gene | gene | adrenomedullin
38107402 | @DISEASE_Death | Death | 1635 | 4 | Disease | disease | died
38107402 | @DISEASE_COVID_19 | COVID-19 | 1645 | 8 | Disease | disease | COVID-19
38107402 | @DISEASE_COVID_19 | COVID-19 | 1720 | 8 | Disease | disease | COVID-19
38107402 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 1740 | 22 | Disease | disease | coronavirus infections
38107402 | @DISEASE_COVID_19 | COVID-19 | 1850 | 8 | Disease | disease | COVID-19
38145241 | @DISEASE_COVID_19 | COVID-19 | 133 | 8 | Disease | disease | COVID-19
38214399 | @DISEASE_COVID_19 | COVID-19 | 38 | 8 | Disease | disease | COVID-19
38214399 | @DISEASE_Mucormycosis | Mucormycosis | 58 | 22 | Disease | disease | pulmonary mucormycosis
38214399 | @DISEASE_COVID_19 | COVID-19 | 184 | 8 | Disease | disease | COVID-19
38214399 | @DISEASE_Mucormycosis | Mucormycosis | 204 | 22 | Disease | disease | pulmonary mucormycosis
38214399 | @DISEASE_COVID_19 | COVID-19 | 228 | 4 | Disease | disease | CAPM
38214399 | @DISEASE_COVID_19 | COVID-19 | 390 | 4 | Disease | disease | CAPM
38214399 | @DISEASE_COVID_19 | COVID-19 | 444 | 4 | Disease | disease | CAPM
38214399 | @DISEASE_Mucormycosis | Mucormycosis | 458 | 22 | Disease | disease | pulmonary mucormycosis
38214399 | @DISEASE_Mucormycosis | Mucormycosis | 482 | 2 | Disease | disease | PM
38214399 | @DISEASE_COVID_19 | COVID-19 | 494 | 8 | Disease | disease | COVID-19
38214399 | @DISEASE_COVID_19 | COVID-19 | 512 | 8 | Disease | disease | COVID-19
38214399 | @DISEASE_Mucormycosis | Mucormycosis | 530 | 12 | Disease | disease | mucormycosis
38214399 | @DISEASE_COVID_19 | COVID-19 | 1142 | 4 | Disease | disease | CAPM
38214399 | @GENE_CLEC6A | CLEC6A | 1198 | 8 | Gene | gene | dectin-2
38214399 | @GENE_CLEC4D | CLEC4D | 1208 | 3 | Gene | gene | MCL
38214399 | @GENE_CLEC1B | CLEC1B | 1236 | 6 | Gene | gene | CLEC-2
38214399 | @GENE_IL17A | IL17A | 1304 | 5 | Gene | gene | IL-17
38214399 | @GENE_CARD9 | CARD9 | 1314 | 6 | Gene | gene | CARD-9
38214399 | @GENE_MTOR | MTOR | 1341 | 4 | Gene | gene | mTOR
38214399 | @DISEASE_COVID_19 | COVID-19 | 1404 | 4 | Disease | disease | CAPM
38214399 | @DISEASE_Inflammation | Inflammation | 1462 | 12 | Disease | disease | inflammatory
38214399 | @GENE_MMP9 | MMP9 | 1519 | 4 | Gene | gene | MMP9
38214399 | @CHEMICAL_Glucose | Glucose | 1572 | 7 | Chemical | chemical | glucose
38214399 | @CHEMICAL_Pentosephosphates | Pentosephosphates | 1619 | 17 | Chemical | chemical | pentose phosphate
38214399 | @CHEMICAL_Iron | Iron | 1665 | 4 | Chemical | chemical | iron
38214399 | @DISEASE_COVID_19 | COVID-19 | 1718 | 4 | Disease | disease | CAPM
38214399 | @DISEASE_Iron_Overload | Iron Overload | 1830 | 13 | Disease | disease | iron overload
38214399 | @DISEASE_Persistent_Vegetative_State | Persistent Vegetative State | 1850 | 20 | Disease | disease | hyperglycaemic state
38214399 | @DISEASE_Inflammation | Inflammation | 1960 | 12 | Disease | disease | inflammatory
38214399 | @DISEASE_COVID_19 | COVID-19 | 2013 | 4 | Disease | disease | CAPM
38215170 | @DISEASE_Influenza_Human | Influenza Human | 646 | 9 | Disease | disease | Influenza
38221776 | @DISEASE_COVID_19 | COVID-19 | 34 | 8 | Disease | disease | COVID-19
38221776 | @DISEASE_COVID_19 | COVID-19 | 260 | 8 | Disease | disease | COVID-19
38221776 | @DISEASE_Substance_Related_Disorders | Substance-Related Disorders | 344 | 10 | Disease | disease | drug abuse
38221776 | @DISEASE_COVID_19 | COVID-19 | 440 | 19 | Disease | disease | COVID-19 infections
38221776 | @DISEASE_COVID_19 | COVID-19 | 1088 | 8 | Disease | disease | COVID-19
38231281 | @DISEASE_Cognitive_Dysfunction | Cognitive Dysfunction | 34 | 14 | Disease | disease | Impairments in
38231281 | @DISEASE_COVID_19 | COVID-19 | 102 | 17 | Disease | disease | Critical COVID-19
38231281 | @DISEASE_COVID_19 | COVID-19 | 179 | 8 | Disease | disease | COVID-19
